symbol,datetime_utc,funding_rate,mark_price,open_interest,open_interest_value
AVAXUSDT,2026-03-13 08:00:00,0.0001,9.847,,
AVAXUSDT,2026-03-13 16:00:00,5.978e-05,9.892,,
AVAXUSDT,2026-03-14 00:00:00,-3.892e-05,9.715,,
AVAXUSDT,2026-03-14 08:00:00,6.986e-05,9.588,,
AVAXUSDT,2026-03-14 16:00:00,-0.00017038,9.55611303,,
AVAXUSDT,2026-03-15 00:00:00,-0.00012817,9.72851294,,
AVAXUSDT,2026-03-15 08:00:00,6.67e-05,9.71079724,,
AVAXUSDT,2026-03-15 16:00:00,0.0001,9.71083487,,
AVAXUSDT,2026-03-16 00:00:00,6.667e-05,9.94726356,,
AVAXUSDT,2026-03-16 08:00:00,0.0001,10.366,,
AVAXUSDT,2026-03-16 16:00:00,6.928e-05,10.072,,
AVAXUSDT,2026-03-17 00:00:00,6.745e-05,10.48333094,,
AVAXUSDT,2026-03-17 08:00:00,-9.192e-05,10.30639429,,
AVAXUSDT,2026-03-17 16:00:00,-7.364e-05,10.26165869,,
AVAXUSDT,2026-03-18 00:00:00,0.0001,10.18973163,,
AVAXUSDT,2026-03-18 08:00:00,2.14e-06,10.242,,
AVAXUSDT,2026-03-18 16:00:00,-0.00018495,9.55957352,,
AVAXUSDT,2026-03-19 00:00:00,-5.21e-05,9.678,,
AVAXUSDT,2026-03-19 08:00:00,4.224e-05,9.512,,
AVAXUSDT,2026-03-19 16:00:00,3.639e-05,9.404,,
AVAXUSDT,2026-03-20 00:00:00,-6.435e-05,9.467,,
AVAXUSDT,2026-03-20 08:00:00,5.319e-05,9.5291251,,
AVAXUSDT,2026-03-20 16:00:00,7.169e-05,9.48355438,,
AVAXUSDT,2026-03-21 00:00:00,-1.362e-05,9.56688231,,
AVAXUSDT,2026-03-21 08:00:00,9.8e-06,9.581,,
AVAXUSDT,2026-03-21 16:00:00,0.0001,9.5350862,,
AVAXUSDT,2026-03-22 00:00:00,5.271e-05,9.21050227,,
AVAXUSDT,2026-03-22 08:00:00,-6.941e-05,9.189,,
AVAXUSDT,2026-03-22 16:00:00,-0.00024677,9.09232643,,
AVAXUSDT,2026-03-23 00:00:00,-1.936e-05,9.019,,
AVAXUSDT,2026-03-23 08:00:00,4.707e-05,9.017,,
AVAXUSDT,2026-03-23 16:00:00,0.0001,9.419,,
AVAXUSDT,2026-03-24 00:00:00,2.947e-05,9.56148773,,
AVAXUSDT,2026-03-24 08:00:00,7.594e-05,9.6,,
AVAXUSDT,2026-03-24 16:00:00,4.978e-05,9.439,,
AVAXUSDT,2026-03-25 00:00:00,0.0001,9.62,,
AVAXUSDT,2026-03-25 08:00:00,0.0001,9.64589357,7901866.0,76219888.52020214
AVAXUSDT,2026-03-25 16:00:00,0.0001,9.66690558,7888358.0,76255340.90462258
AVAXUSDT,2026-03-26 00:00:00,0.0001,9.67974513,7817106.0,75667593.96870697
AVAXUSDT,2026-03-26 08:00:00,-2.701e-05,9.434,7601602.0,71705911.666
AVAXUSDT,2026-03-26 16:00:00,-3.088e-05,9.177,7645027.0,70158412.779
AVAXUSDT,2026-03-27 00:00:00,-0.00019598,9.09628751,7924259.0,72087512.90880308
AVAXUSDT,2026-03-27 08:00:00,-6.933e-05,9.061,7860089.0,71228126.518
AVAXUSDT,2026-03-27 16:00:00,-9.949e-05,8.802,8177102.0,71974851.804
AVAXUSDT,2026-03-28 00:00:00,-6.645e-05,8.785,8154334.0,71635824.19
AVAXUSDT,2026-03-28 08:00:00,-0.00012344,8.82710146,8137267.0,71828481.41610982
AVAXUSDT,2026-03-28 16:00:00,3.463e-05,8.93398443,8140632.0,72728279.53835976
AVAXUSDT,2026-03-29 00:00:00,-8.91e-06,8.752,8023532.0,70229975.596
AVAXUSDT,2026-03-29 08:00:00,1.594e-05,8.74717874,8081197.0,70687674.59215178
AVAXUSDT,2026-03-29 16:00:00,-2.535e-05,8.65900823,8209686.0,71087738.63971578
AVAXUSDT,2026-03-30 00:00:00,-2.78e-06,8.59395898,8322975.0,71527305.7415655
AVAXUSDT,2026-03-30 08:00:00,8.233e-05,8.91534521,8211564.0,73208927.77400844
AVAXUSDT,2026-03-30 16:00:00,0.0001,8.94355985,8059655.0,72083258.1242905
AVAXUSDT,2026-03-31 00:00:00,8.3e-06,8.80761067,8054380.0,70933567.094251
AVAXUSDT,2026-03-31 08:00:00,5.857e-05,8.91509123,7922698.0,70622313.03150675
AVAXUSDT,2026-03-31 16:00:00,5.153e-05,8.739,7774443.0,67925308.491
AVAXUSDT,2026-04-01 00:00:00,4.414e-05,8.90870349,7774193.0,69257980.31103358
AVAXUSDT,2026-04-01 08:00:00,0.0001,9.34,8361330.0,78094822.2
AVAXUSDT,2026-04-01 16:00:00,5.184e-05,9.212,8382803.0,77222381.236
AVAXUSDT,2026-04-02 00:00:00,-3.318e-05,9.12502038,8101985.0,73929515.54909205
AVAXUSDT,2026-04-02 08:00:00,-0.00021589,8.7404997,7393267.0,64620847.9955199
AVAXUSDT,2026-04-02 16:00:00,-7.622e-05,8.73278035,7620198.0,66542557.12044372
