symbol,datetime_utc,funding_rate,mark_price,open_interest,open_interest_value
DOGEUSDT,2020-09-01 00:00:00,0.0001,,,
DOGEUSDT,2020-09-01 08:00:00,0.0001,,,
DOGEUSDT,2020-09-01 16:00:00,0.0001,,,
DOGEUSDT,2020-09-02 00:00:00,0.0001,,,
DOGEUSDT,2020-09-02 08:00:00,0.0001,,,
DOGEUSDT,2020-09-02 16:00:00,0.0001,,,
DOGEUSDT,2020-09-03 00:00:00,0.0001,,,
DOGEUSDT,2020-09-03 08:00:00,0.0001,,,
DOGEUSDT,2020-09-03 16:00:00,0.0001,,,
DOGEUSDT,2020-09-04 00:00:00,-8.813e-05,,,
DOGEUSDT,2020-09-04 08:00:00,-0.00130878,,,
DOGEUSDT,2020-09-04 16:00:00,0.0001,,,
DOGEUSDT,2020-09-05 00:00:00,0.0001,,,
DOGEUSDT,2020-09-05 08:00:00,0.0001,,,
DOGEUSDT,2020-09-05 16:00:00,-0.00086354,,,
DOGEUSDT,2020-09-06 00:00:00,-0.00071195,,,
DOGEUSDT,2020-09-06 08:00:00,-0.00073545,,,
DOGEUSDT,2020-09-06 16:00:00,-9.537e-05,,,
DOGEUSDT,2020-09-07 00:00:00,0.0001,,,
DOGEUSDT,2020-09-07 08:00:00,8.7e-05,,,
DOGEUSDT,2020-09-07 16:00:00,0.0001,,,
DOGEUSDT,2020-09-08 00:00:00,0.0001,,,
DOGEUSDT,2020-09-08 08:00:00,0.0001,,,
DOGEUSDT,2020-09-08 16:00:00,0.0001,,,
DOGEUSDT,2020-09-09 00:00:00,0.0001,,,
DOGEUSDT,2020-09-09 08:00:00,0.0001,,,
DOGEUSDT,2020-09-09 16:00:00,0.0001,,,
DOGEUSDT,2020-09-10 00:00:00,0.0001,,,
DOGEUSDT,2020-09-10 08:00:00,0.0001,,,
DOGEUSDT,2020-09-10 16:00:00,0.0001,,,
DOGEUSDT,2020-09-11 00:00:00,-0.00070159,,,
DOGEUSDT,2020-09-11 08:00:00,-0.00046276,,,
DOGEUSDT,2020-09-11 16:00:00,-0.00041752,,,
DOGEUSDT,2020-09-12 00:00:00,0.0001,,,
DOGEUSDT,2020-09-12 08:00:00,0.0001,,,
DOGEUSDT,2020-09-12 16:00:00,0.0001,,,
DOGEUSDT,2020-09-13 00:00:00,0.0001,,,
DOGEUSDT,2020-09-13 08:00:00,0.0001,,,
DOGEUSDT,2020-09-13 16:00:00,0.0001,,,
DOGEUSDT,2020-09-14 00:00:00,0.0001,,,
DOGEUSDT,2020-09-14 08:00:00,0.0001,,,
DOGEUSDT,2020-09-14 16:00:00,0.0001,,,
DOGEUSDT,2026-02-17 16:00:00,7.71e-06,0.10044,,
DOGEUSDT,2026-02-18 00:00:00,-7.484e-05,0.10061,,
DOGEUSDT,2026-02-18 08:00:00,-8.343e-05,0.10137,,
DOGEUSDT,2026-02-18 16:00:00,-1.407e-05,0.10105,,
DOGEUSDT,2026-02-19 00:00:00,-4.235e-05,0.0985,,
DOGEUSDT,2026-02-19 08:00:00,-6.52e-06,0.09830018,,
DOGEUSDT,2026-02-19 16:00:00,1.999e-05,0.0968,,
DOGEUSDT,2026-02-20 00:00:00,5.58e-05,0.09832,,
DOGEUSDT,2026-02-20 08:00:00,-4.929e-05,0.09855054,,
DOGEUSDT,2026-02-20 16:00:00,-2.488e-05,0.10026,,
DOGEUSDT,2026-02-21 00:00:00,-2.2e-07,0.10005002,,
DOGEUSDT,2026-02-21 08:00:00,2.851e-05,0.10004,,
DOGEUSDT,2026-02-21 16:00:00,-0.00011933,0.09996167,,
DOGEUSDT,2026-02-22 00:00:00,-6.956e-05,0.09838619,,
DOGEUSDT,2026-02-22 08:00:00,-9.87e-05,0.09724475,,
DOGEUSDT,2026-02-22 16:00:00,-8.514e-05,0.0957,,
DOGEUSDT,2026-02-23 00:00:00,-8.585e-05,0.09552,,
DOGEUSDT,2026-02-23 08:00:00,-3.756e-05,0.09483,,
DOGEUSDT,2026-02-23 16:00:00,5.811e-05,0.09493076,,
DOGEUSDT,2026-02-24 00:00:00,-2.14e-05,0.09262108,,
DOGEUSDT,2026-02-24 08:00:00,-6.498e-05,0.0912,,
DOGEUSDT,2026-02-24 16:00:00,-2.699e-05,0.09172155,,
DOGEUSDT,2026-02-25 00:00:00,3.966e-05,0.09132,,
DOGEUSDT,2026-02-25 08:00:00,-9.097e-05,0.09278599,,
DOGEUSDT,2026-02-25 16:00:00,8.098e-05,0.10155046,,
DOGEUSDT,2026-02-26 00:00:00,0.0001,0.1009297,,
DOGEUSDT,2026-02-26 08:00:00,-2.959e-05,0.09952,,
DOGEUSDT,2026-02-26 16:00:00,-3.64e-06,0.09855335,,
DOGEUSDT,2026-02-27 00:00:00,-1.476e-05,0.09695,,
DOGEUSDT,2026-02-27 08:00:00,-2.79e-06,0.09837175,,
DOGEUSDT,2026-02-27 16:00:00,-4.753e-05,0.09397688,,
DOGEUSDT,2026-02-28 00:00:00,-0.00010157,0.09332001,,
DOGEUSDT,2026-02-28 08:00:00,-0.00010511,0.08929519,,
DOGEUSDT,2026-02-28 16:00:00,-0.00010575,0.09074,,
DOGEUSDT,2026-03-01 00:00:00,-3.797e-05,0.09401408,,
DOGEUSDT,2026-03-01 08:00:00,5.895e-05,0.0948,,
DOGEUSDT,2026-03-01 16:00:00,2.982e-05,0.0938,,
DOGEUSDT,2026-03-02 00:00:00,4.6e-06,0.09185,,
DOGEUSDT,2026-03-02 08:00:00,3.702e-05,0.09169,,
DOGEUSDT,2026-03-02 16:00:00,-4.13e-06,0.09563219,,
DOGEUSDT,2026-03-03 00:00:00,8.053e-05,0.09352522,,
DOGEUSDT,2026-03-03 08:00:00,-0.00011761,0.0913038,,
DOGEUSDT,2026-03-03 16:00:00,-0.00017465,0.09015,,
DOGEUSDT,2026-03-04 00:00:00,-0.00018443,0.08992399,,
DOGEUSDT,2026-03-04 08:00:00,-8.762e-05,0.09010515,,
DOGEUSDT,2026-03-04 16:00:00,8.455e-05,0.09899,,
DOGEUSDT,2026-03-05 00:00:00,0.0001,0.09891235,,
DOGEUSDT,2026-03-05 08:00:00,1.045e-05,0.09565,,
DOGEUSDT,2026-03-05 16:00:00,-6.87e-05,0.09423,,
DOGEUSDT,2026-03-06 00:00:00,4.964e-05,0.09353674,,
DOGEUSDT,2026-03-06 08:00:00,-9.969e-05,0.09394,,
DOGEUSDT,2026-03-06 16:00:00,-0.00012658,0.09019492,,
DOGEUSDT,2026-03-07 00:00:00,-0.00012826,0.09123,,
DOGEUSDT,2026-03-07 08:00:00,-1.661e-05,0.09053,,
DOGEUSDT,2026-03-07 16:00:00,-0.00014095,0.08995806,,
DOGEUSDT,2026-03-08 00:00:00,-0.00011339,0.08987,,
DOGEUSDT,2026-03-08 08:00:00,-0.00013641,0.08927215,,
DOGEUSDT,2026-03-08 16:00:00,-0.00016514,0.08866175,,
DOGEUSDT,2026-03-09 00:00:00,-0.00013484,0.08908878,,
DOGEUSDT,2026-03-09 08:00:00,-1.365e-05,0.0899337,,
DOGEUSDT,2026-03-09 16:00:00,-8.71e-06,0.09108207,,
DOGEUSDT,2026-03-10 00:00:00,-8.843e-05,0.09043502,,
DOGEUSDT,2026-03-10 08:00:00,-8.741e-05,0.09228,,
DOGEUSDT,2026-03-10 16:00:00,0.0001,0.09911989,,
DOGEUSDT,2026-03-11 00:00:00,9.159e-05,0.09447,,
DOGEUSDT,2026-03-11 08:00:00,-0.00010238,0.09189,,
DOGEUSDT,2026-03-11 16:00:00,-0.00011309,0.09231,,
DOGEUSDT,2026-03-12 00:00:00,-7.38e-06,0.09284,,
DOGEUSDT,2026-03-12 08:00:00,-0.00016651,0.09284,,
DOGEUSDT,2026-03-12 16:00:00,7.767e-05,0.09406,,
DOGEUSDT,2026-03-13 00:00:00,6.599e-05,0.0947,,
DOGEUSDT,2026-03-13 08:00:00,4.334e-05,0.09647,,
DOGEUSDT,2026-03-13 16:00:00,0.0001,0.09795789,,
DOGEUSDT,2026-03-14 00:00:00,0.0001,0.09592,,
DOGEUSDT,2026-03-14 08:00:00,9.015e-05,0.09458005,,
DOGEUSDT,2026-03-14 16:00:00,-7.5e-06,0.09487526,,
DOGEUSDT,2026-03-15 00:00:00,8.8e-06,0.09598478,,
DOGEUSDT,2026-03-15 08:00:00,-5.212e-05,0.09557,,
DOGEUSDT,2026-03-15 16:00:00,-4.953e-05,0.09492837,,
DOGEUSDT,2026-03-16 00:00:00,1.7e-07,0.09735,,
DOGEUSDT,2026-03-16 08:00:00,0.0001,0.102,,
DOGEUSDT,2026-03-16 16:00:00,0.0001,0.10004,,
DOGEUSDT,2026-03-17 00:00:00,0.0001,0.10299402,,
DOGEUSDT,2026-03-17 08:00:00,3.476e-05,0.1004811,,
DOGEUSDT,2026-03-17 16:00:00,-1.451e-05,0.09961581,,
DOGEUSDT,2026-03-18 00:00:00,6.063e-05,0.10012,,
DOGEUSDT,2026-03-18 08:00:00,7.262e-05,0.0995067,,
DOGEUSDT,2026-03-18 16:00:00,-8.87e-05,0.0943072,,
DOGEUSDT,2026-03-19 00:00:00,-5.717e-05,0.0952,,
DOGEUSDT,2026-03-19 08:00:00,3.931e-05,0.09433,,
DOGEUSDT,2026-03-19 16:00:00,-4.674e-05,0.09282,,
DOGEUSDT,2026-03-20 00:00:00,-5.902e-05,0.09349,,
DOGEUSDT,2026-03-20 08:00:00,-1.404e-05,0.09402623,,
DOGEUSDT,2026-03-20 16:00:00,-2.568e-05,0.09417,,
DOGEUSDT,2026-03-21 00:00:00,8.06e-06,0.09413,,
DOGEUSDT,2026-03-21 08:00:00,-6.038e-05,0.09431015,,
DOGEUSDT,2026-03-21 16:00:00,-7.184e-05,0.09459582,,
DOGEUSDT,2026-03-22 00:00:00,-7.41e-05,0.09129593,,
DOGEUSDT,2026-03-22 08:00:00,-3.507e-05,0.09128467,,
DOGEUSDT,2026-03-22 16:00:00,-4.447e-05,0.09158182,,
DOGEUSDT,2026-03-23 00:00:00,-0.00011686,0.0900991,,
DOGEUSDT,2026-03-23 08:00:00,-4.453e-05,0.09039,,
DOGEUSDT,2026-03-23 16:00:00,-5.97e-06,0.09376092,,
DOGEUSDT,2026-03-24 00:00:00,0.0001,0.09409,,
DOGEUSDT,2026-03-24 08:00:00,1.168e-05,0.09521,,
DOGEUSDT,2026-03-24 16:00:00,-3.422e-05,0.09331334,,
DOGEUSDT,2026-03-25 00:00:00,6.472e-05,0.09506073,,
DOGEUSDT,2026-03-25 08:00:00,0.0001,0.09677,1802657156.0,174430045.69516745
DOGEUSDT,2026-03-25 16:00:00,0.0001,0.09592974,1768756830.0,169676842.7019
DOGEUSDT,2026-03-26 00:00:00,8.915e-05,0.09613,1700869382.0,163521582.38548
DOGEUSDT,2026-03-26 08:00:00,-5.046e-05,0.09269,1685793986.0,156256244.56234
DOGEUSDT,2026-03-26 16:00:00,-0.00011762,0.09090565,1801242634.0,163743132.4514821
DOGEUSDT,2026-03-27 00:00:00,-6.496e-05,0.09201,1778317924.0,163623032.18724
DOGEUSDT,2026-03-27 08:00:00,8.57e-06,0.09217179,1777611185.0,163854279.58805394
DOGEUSDT,2026-03-27 16:00:00,-0.00011541,0.09030981,1871101043.0,168979135.19333
DOGEUSDT,2026-03-28 00:00:00,-0.00010329,0.09005,1891472874.0,170327132.3037
DOGEUSDT,2026-03-28 08:00:00,-3.903e-05,0.09117,1931956363.0,176136461.61471
DOGEUSDT,2026-03-28 16:00:00,0.0001,0.09400018,1911125332.0,179645781.208
DOGEUSDT,2026-03-29 00:00:00,7.74e-05,0.0909255,1760336949.0,160069832.83082065
DOGEUSDT,2026-03-29 08:00:00,-4.965e-05,0.09114,1867754431.0,170217314.45303294
DOGEUSDT,2026-03-29 16:00:00,-6.654e-05,0.09011,1927683652.0,173703573.88172
DOGEUSDT,2026-03-30 00:00:00,-2.588e-05,0.09039137,1883385968.0,170239257.64752
DOGEUSDT,2026-03-30 08:00:00,0.0001,0.09332,1846173718.0,172266469.62658
DOGEUSDT,2026-03-30 16:00:00,0.0001,0.09287,1855436889.0,172314423.88143
DOGEUSDT,2026-03-31 00:00:00,-7.58e-05,0.09078055,1814521704.0,164722280.28912
DOGEUSDT,2026-03-31 08:00:00,5.413e-05,0.09123,1846699461.0,168474391.82703
DOGEUSDT,2026-03-31 16:00:00,-3.312e-05,0.09038,1888521833.0,170665718.04821
DOGEUSDT,2026-04-01 00:00:00,0.0001,0.09228,1880044042.0,173490464.19576
DOGEUSDT,2026-04-01 08:00:00,0.0001,0.09323,1947936309.0,181606102.08807
DOGEUSDT,2026-04-01 16:00:00,-2.23e-06,0.09302,1905511813.0,177231653.72713
DOGEUSDT,2026-04-02 00:00:00,9.762e-05,0.09215799,1894233036.0,174572516.59776
DOGEUSDT,2026-04-02 08:00:00,-0.00013452,0.09020241,1934972621.0,174553880.14041
DOGEUSDT,2026-04-02 16:00:00,-2.289e-05,0.09029,1966401744.0,177566077.4832
